place_id,place_name,alternate_names,state,state_code,union_territory,district,city,city_id,place_type,primary_category,secondary_categories,subcategory,tourism_theme,recommended_for,family_friendly,couple_friendly,solo_friendly,kids_friendly,elderly_friendly,friends_friendly,adventure_friendly,spiritual_friendly,photography_friendly,nature_friendly,history_friendly,family_score,couple_score,solo_score,adventure_score,spiritual_score,nature_score,history_score,photography_score,latitude,longitude,address,google_maps_url,distance_from_city_center_km,nearest_landmark,opening_time,closing_time,weekly_off,entry_fee,currency,estimated_visit_duration_hours,best_time_to_visit,official_website,image_url,source,source_url,source_count,last_verified,verification_status,data_confidence,is_major_destination,is_popular,is_hidden_gem,is_offbeat,is_featured,priority_score,flag_activity_phrase,rating,review_count,description,short_description,establishment_year
PL-00001,Limestone Caves,,Andaman and Nicobar Islands,ST-01,Andaman and Nicobar Islands,,Baratang Island,CT-0001,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,INR,1.5,Morning,,https://media.australian.museum/media/dd/images/Ishigaki_ishigakijima_limestone_cave.8181618.width-800.6104bde.jpg,Top_Indian_Places_to_Visit,,1,,PARTIALLY_VERIFIED,MEDIUM,,,,,,,False,4.4,1500.0,,,Unknown
PL-00002,Radhanagar Beach,,Andaman and Nicobar Islands,ST-01,Andaman and Nicobar Islands,,Havelock Island,CT-0002,,Beach & Coastal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,INR,1.0,Morning,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/89/e9/f8/radhanagar-beach.jpg?w=900&h=500&s=1,Top_Indian_Places_to_Visit,,1,,PARTIALLY_VERIFIED,MEDIUM,,,,,,,False,4.8,9000.0,,,Unknown
PL-00003,Bharatpur Beach,,Andaman and Nicobar Islands,ST-01,Andaman and Nicobar Islands,,Neil Island,CT-0003,,Beach & Coastal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,INR,1.0,Morning,,http://be.discoverandaman.in/storage/uploads/2024/2/8e7965b3-74e6-478a-bcda-088346037edd.jpeg,Top_Indian_Places_to_Visit,,1,,PARTIALLY_VERIFIED,MEDIUM,,,,,,,False,4.5,4000.0,,,Unknown
PL-00004,Cellular Jail,,Andaman and Nicobar Islands,ST-01,Andaman and Nicobar Islands,Andamans,Port Blair,CT-0004,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,30.0,INR,1.5,Afternoon,,https://upload.wikimedia.org/wikipedia/commons/f/fe/Front_View_of_Cellular_Jail%2C_Port_Blair.JPG,Top_Indian_Places_to_Visit,,1,,PARTIALLY_VERIFIED,MEDIUM,,,,,,,False,4.7,12000.0,,,1906
PL-00005,Amaravathi Temple,Ambadevi Temple,Andhra Pradesh,ST-02,,Amravati,Amravati,CT-0005,,Temples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,INR,1.0,All,,https://s7ap1.scene7.com/is/image/incredibleindia/amaralingeshwara-temple-amaravati-andhra-pradesh-1-attr-hero?qlt=82&ts=1726743722820,Top_Indian_Places_to_Visit|india_tourism_food_dataset,,2,,PARTIALLY_VERIFIED,MEDIUM,,,,,,,False,4.7,4100.0,,,Unknown
PL-00006,Chikhaldara Hill Station,,Andhra Pradesh,ST-02,,Amravati,Amravati,CT-0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,india_tourism_food_dataset,,1,,PARTIALLY_VERIFIED,MEDIUM,,,,,,,False,,,,,
PL-00007,Melghat Tiger Reserve,,Andhra Pradesh,ST-02,,Amravati,Amravati,CT-0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,india_tourism_food_dataset,,1,,PARTIALLY_VERIFIED,MEDIUM,,,,,,,False,,,,,
PL-00008,Lepakshi,,Andhra Pradesh,ST-02,,Anantapur,Anantapur,CT-0006,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,INR,1.5,All,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Front_side_of_Veerabhadra_Temple%2C_Lepakshi.jpg/1200px-Front_side_of_Veerabhadra_Temple%2C_Lepakshi.jpg,Top_Indian_Places_to_Visit,,1,,PARTIALLY_VERIFIED,MEDIUM,,,,,,,False,4.6,7500.0,,,16th century
PL-00009,Uppalapadu Bird Sanctuary,,Andhra Pradesh,ST-02,,Guntur,Guntur,CT-0007,,Nature & Wildlife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,INR,1.0,All,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/5f/02/90/uppalapadu-bird-sanctuary.jpg?w=1200&h=-1&s=1,Top_Indian_Places_to_Visit,,1,,PARTIALLY_VERIFIED,MEDIUM,,,,,,,False,4.4,70000.0,,,Unknown
PL-00010,Gandikota Fort,,Andhra Pradesh,ST-02,,,Kadapa,CT-0008,,Forts & Palaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,INR,1.5,Morning,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/4a/20/f2/grand-canyon-of-india.jpg?w=1200&h=1200&s=1,Top_Indian_Places_to_Visit,,1,,PARTIALLY_VERIFIED,MEDIUM,,,,,,,False,4.5,1500.0,,,12th century
PL-00011,Belum Caves,,Andhra Pradesh,ST-02,,Kurnool,Kurnool,CT-0009,,Caves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,INR,1.5,Afternoon,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/1c/95/33/group-outing-belum-caves3.jpg?w=1200&h=-1&s=1,Top_Indian_Places_to_Visit,,1,,PARTIALLY_VERIFIED,MEDIUM,,,,,,,False,4.4,11000.0,,,Unknown
