city_id,city_name,state,state_code,district,latitude,longitude,destination_type,description,ideal_duration_days,best_time_to_visit,budget_level,is_major_destination,tourist_place_count,coverage_status,source,last_verified
CT-0001,Baratang Island,Andaman and Nicobar Islands,ST-01,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0002,Havelock Island,Andaman and Nicobar Islands,ST-01,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0003,Neil Island,Andaman and Nicobar Islands,ST-01,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0004,Port Blair,Andaman and Nicobar Islands,ST-01,Andamans,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0005,Amravati,Andhra Pradesh,ST-02,Amravati,,,,,,,,False,3,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0006,Anantapur,Andhra Pradesh,ST-02,Anantapur,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0007,Guntur,Andhra Pradesh,ST-02,Guntur,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0008,Kadapa,Andhra Pradesh,ST-02,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0009,Kurnool,Andhra Pradesh,ST-02,Kurnool,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0010,Puttaparthi,Andhra Pradesh,ST-02,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0011,Rajahmundry,Andhra Pradesh,ST-02,East Godavari,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0012,Srisailam,Andhra Pradesh,ST-02,,,,Lake & Backwater,"At a distance of 160 km from Nandyal, 181 km from Kurnool, 229 km from Hyderabad, 263 km from Vijayawada and 527 km from Bangalore, Srisailam is one of the twelve Jyotirlingas of Lord Shiva situated on the banks of River Krishna in Kurnool district of Andhra Pradesh. It is one of the most important pilgrimage centers of Lord Shiva in India and also one of the top Places to visit in Andhra. Srisail...",,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0013,Tirupati,Andhra Pradesh,ST-02,Chittoor,,,Pilgrimage,"At a distance of 71 km from Chittoor, 413 km from Vijayawada, 556 km from Hyderabad, 763 km from Vizag, 134 km from Chennai and 259 km from Bangalore, Tirupati is a pilgrimage city in the extreme southeast of Andhra Pradesh in Chittoor district. It is often referred as a synonym to Tirumala (called as Tirumala Tirupati), which is a sacred temple town famous for Sri Venkateswara Temple also known a...",1-2,September-March,,True,27,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0014,Vijayawada,Andhra Pradesh,ST-02,Krishna,,,,,,,,False,3,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0015,Visakhapatnam,Andhra Pradesh,ST-02,Visakhapatnam,,,,,2-3,,,True,27,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0016,Vizianagaram,Andhra Pradesh,ST-02,Vizianagaram,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0017,Warangal,Andhra Pradesh,ST-02,Warangal,,,,,,,,False,3,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0018,Itanagar,Arunachal Pradesh,ST-03,Papum Pare,,,,,,,,False,3,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0019,Tawang,Arunachal Pradesh,ST-03,Tawang,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0020,Guwahati,Assam,ST-04,Kamrup,,,City,"At a distance of 8 km from Dispur, 95 km from Shillong, 110 km from Nagaon, 159 km from Tezpur, 360 km from Agartala, 414 km from Dibrugarh, 452 km from Imphal, 467 km from Darjeeling, 504 km from Gangtok, 786 km from Darbhanga and 923 km from Patna, Guwahati, also known as the 'City of Eastern Light', is the largest city in the Indian state of Assam. Situated on the banks of Brahmaputra River, Gu...",,,,False,5,NEEDS_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0021,Hajo,Assam,ST-04,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0022,Kaziranga,Assam,ST-04,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0023,Kaziranga National Park,Assam,ST-04,,,,Wildlife,"At a distance of 67 km from Golaghat, 80 km from Tezpur, 88 km from Jorhat, 216 km from Kohima, 217 km from Guwahati, 230 km from Dibrugarh and 277 km from Shillong, Kaziranga is a national park in the Golaghat and Nagaon districts of Assam, India. Known worldwide for its Rhino population, it is one of the most picturesque wildlife sanctuaries in India and among the best places to visit in Assam.S...",1-2,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0024,Majuli,Assam,ST-04,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0025,Manas,Assam,ST-04,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0026,Sivasagar,Assam,ST-04,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0027,Bodh Gaya,Bihar,ST-05,Gaya,,,,,1-3,,,True,24,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0028,Patna,Bihar,ST-05,Patna,,,,,,,,False,6,NEEDS_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0029,Bastar,Chhattisgarh,ST-07,,,,,,,,,False,1,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0030,Diu,Dadra and Nagar Haveli and Daman and Diu,ST-08,Diu,,,,,,,,False,2,NEEDS_EXTENSIVE_RESEARCH,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
CT-0031,Delhi,Delhi,ST-09,,,,,,3-5,OctoberMarch,,True,52,COMPLETE,Merged: WanderSphere_cities + Cities.csv + City.csv + derived from place records,
