City,Tourist Spot 1,Tourist Spot 2,Tourist Spot 3,Breakfast Spot 1,Breakfast Spot 2,Breakfast Spot 3,Dinner Spot 1,Dinner Spot 2,Dinner Spot 3
Mumbai,Gateway of India,Marine Drive,Elephanta Caves,"Ram Ashraya, Matunga","Cafe Madras, Matunga","Kyani & Co., Marine Lines","Aaswad, Dadar","Sarvi, Byculla","Candies, Bandra"
Delhi,Red Fort,India Gate,Qutub Minar,"Saravana Bhavan, CP","Sita Ram Diwan Chand, Paharganj",Andhra Bhavan Canteen,"Karim's, Jama Masjid","Rajinder Da Dhaba, Safdarjung","Saravana Bhavan, CP"
Bangalore,Lalbagh Botanical Garden,Bangalore Palace,Cubbon Park,Vidyarthi Bhavan,CTR (Sri Sagar),Airlines Hotel,"MTR, Lalbagh","Nagarjuna, Residency Road",Rameshwaram Cafe
Hyderabad,Charminar,Golconda Fort,Hussain Sagar Lake,"Chutneys, Banjara Hills",Govind Dosas,Ram ki Bandi,Shah Ghouse Cafe,Hotel Shadab,"Bawarchi, RTC X Roads"
Chennai,Marina Beach,Kapaleeshwarar Temple,Fort St. George,Murugan Idli Shop,Rayar's Mess,Ratna Cafe,Junior Kuppanna,Mathsya,Sangeetha Veg Restaurant
Kolkata,Victoria Memorial,Howrah Bridge,Indian Museum,Kewpies Kitchen,Balwant Singh Eating House,Flurys,6 Ballygunge Place,Peter Cat,Arsalan
Pune,Shaniwar Wada,Aga Khan Palace,Sinhagad Fort,Vaishali Restaurant,Good Luck Cafe,Vohuman Cafe,SP's Biryani House,Durvankur Dining Hall,Rasoi Dining Hall
Ahmedabad,Sabarmati Ashram,Adalaj Stepwell,Kankaria Lake,The Project Cafe,Gopi Dining Hall,Jay Bhavani,Agashiye,Gordhan Thal,Swati Snacks
Jaipur,Hawa Mahal,Amber Fort,City Palace,Laxmi Misthan Bhandar (LMB),Rawat Mishtan Bhandar,Indian Coffee House,Niros,Spice Court,Handi Restaurant
Lucknow,Bara Imambara,Rumi Darwaza,Hazratganj Market,Rati Lal’s Khasta Kachori,Netram Ajay Kumar,Sharma Ji Ki Chai,Tunday Kababi,Dastarkhwan,Mubeen's
Indore,Rajwada Palace,Kanch Mandir,Bada Ganapati Temple,56 Dukan,Apna Sweets,Shreemaya Celebrity,Nafees Restaurant,Vijay Chaat House,Guru Kripa Restaurant
Bhopal,Upper Lake (Bhojtal),Van Vihar National Park,Madhya Pradesh Tribal Museum,Manohar Dairy & Restaurant,Sagar Gaire Fast Food Corner,Raju Tea Stall,Zam Zam,Under the Jamun Tree,Green House Bistro
Nagpur,Deekshabhoomi,Futala Lake,Sitabuldi Fort,Mintleaf Restaurant,The Breakfast Story,Reddy's All About Idli,Barbecue Restaurant,Ashoka Restaurant,Thaat Baat
Visakhapatnam,INS Kurusura Submarine Museum,Kailasagiri Hill Park,Yarada Beach,Sri Sairam Parlour,R&G - Hotel GreenPark,Uma Parlour,Shree Shyam Restaurant,Jai Ganesh MAEN Restaurant,Sarvani Sweets
Surat,Jagdishchandra Bose Aquarium,Dutch Garden,Sarthana Nature Park,Radhe Dhokla,Jaani Locho,Lijjat Khwasa,Sasumaa Gujarati Thali,Sizzling Salsa,Kansar Gujarati Thali
Vadodara,Laxmi Vilas Palace,Sayaji Garden,Baroda Golf Club,The House of MG,Shree Vithal's,Cafe 9,Saffron Restaurant,The Earth Plate,Indian Pavilion
Nashik,Trimbakeshwar Temple,Saptashrungi,Pandav Leni Caves,Chai Shai,Vaishali Restaurant,Shree Sagar,Mehfil Restaurant,Swaad Sutra,Beverly Hills
Patna,Golghar,Patna Museum,Mahavir Mandir,Bansi Vihari,Patna Rasoi,Shree Narmada,Spice Court,Biryani Mahal,17 Degrees
Ranchi,Rock Garden,Tagore Hill,Kanke Dam,Kaveri Restaurant,The Kitchen,Biryani House,The Chaiwala,Red Mango,Ranchi Rasoi
Bhubaneswar,Lingaraj Temple,Udayagiri and Khandagiri Caves,Brahmeswar Temple,Anand Biri,Bengal Sweets,Rasa Kitchen,The Talk,Kalinga Hotel,Green Hut
Raipur,Mahant Ghasidas Memorial Museum,Doodhadhari Monastery,Nandan Van Zoo,Sagar Ratna,Bhogpuri,Ravi Bhojanalay,Sagar Ratna,Suyash Restaurant,Shree Ram Restaurant
Jodhpur,Mehrangarh Fort,Jaswant Thada,Umaid Bhawan Palace,Shankar’s Chaat Bhandar,Janta Sweet Home,Shahi Samosa,Gypsy Restaurant,Kalinga Restaurant,Indique
Udaipur,City Palace,Lake Pichola,Jagdish Temple,Natraj Dining Hall,JMB Cafe,Cafe Edelweiss,Ambrai Restaurant,Upre,Savage Garden
Chandigarh,Rock Garden,Sukhna Lake,Rose Garden,Indian Coffee House,Gopal Sweets,Sindhi Sweets,Pal Dhaba,Barbeque Nation,Swagath Restaurant
Amritsar,Golden Temple,Jallianwala Bagh,Wagah Border,Kesar Da Dhaba,Gurdas Ram Jalebi Wala,Kanha Sweets,Bharawan Da Dhaba,Crystal Restaurant,Kesar Da Dhaba
Ludhiana,Punjab Agricultural University Museum,Gurudwara Nanaksar Jagraon,Rakh Bagh,Bille Di Hatti,Lovely Sweets,Chawla’s,Yellow Chilli,Barbeque Nation,Kitchen at 95
Dehradun,Robber’s Cave,Sahastradhara,Mindrolling Monastery,Chetan Puri Wala,Doon Darbar,Kumar Vegetarian,Black Pepper Restaurant,Town Table,Punjab Grill
Noida,DLF Mall of India,ISKCON Temple,Okhla Bird Sanctuary,The Yellow Chilli,Desi Vibes,Cafe Coffee Day,Pirates of Grill,Barbeque Nation,The Great Kabab Factory
Gurgaon,Kingdom of Dreams,Cyber Hub,Damdama Lake,Om Sweets,Cafe Delhi Heights,Bikanervala,Carnatic Cafe,Burma Burma,Prego
Faridabad,Surajkund Lake,Badkhal Lake,Raja Nahar Singh Palace,Anupam Sweets,Bikanervala,Cafe Coffee Day,Haveli,World Cafe,Murthal Paratha
Ghaziabad,Swarna Jayanti Park,ISKCON Temple,Drizzling Land,Bikanervala,Shree Rathnam,Cafe Coffee Day,The Yellow Chilli,Walk in the Woods,Country Inn
