place_id,place_name,alternate_names,state,state_code,union_territory,district,city,city_id,place_type,primary_category,secondary_categories,subcategory,tourism_theme,recommended_for,family_friendly,couple_friendly,solo_friendly,kids_friendly,elderly_friendly,friends_friendly,adventure_friendly,spiritual_friendly,photography_friendly,nature_friendly,history_friendly,family_score,couple_score,solo_score,adventure_score,spiritual_score,nature_score,history_score,photography_score,latitude,longitude,address,google_maps_url,distance_from_city_center_km,nearest_landmark,opening_time,closing_time,weekly_off,entry_fee,currency,estimated_visit_duration_hours,best_time_to_visit,description,short_description,official_website,image_url,source,source_url,source_count,last_verified,verification_status,data_confidence,is_major_destination,is_popular,is_hidden_gem,is_offbeat,priority_score
PL-03781,Kohima War Cemetery,Commonwealth War Cemetery Kohima,Nagaland,NL,FALSE,Kohima,Kohima,CT-0500,Attraction,Heritage & Historical,,War Memorial,History & WWII Heritage,"History Lovers,Photography Lovers,General Travelers",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,55,60,55,40,30,50,90,75,25.6701,94.1075,,,,,,,,Contact local authority,INR,1.5,October to March,"A Commonwealth War Graves Commission cemetery commemorating Allied soldiers who died in the pivotal 1944 Battle of Kohima during World War II, set on the terraced slopes of Garrison Hill.",WWII memorial cemetery honouring soldiers of the Battle of Kohima.,,,Web research (govt tourism / Incredible India / Wikipedia / reputable travel publishers),https://www.clubmahindra.com/blog/places-to-visit/best-places-to-visit-in-nagaland,1,2026-08-22,VERIFIED,HIGH,TRUE,TRUE,FALSE,FALSE,90
PL-03782,Nagaland State Museum,Kohima Museum,Nagaland,NL,FALSE,Kohima,Kohima,CT-0500,Attraction,Museums & Art,,State Museum,Tribal Culture & Heritage,"Family,History Lovers,General Travelers",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,60,60,55,40,20,50,75,55,,,,,,,,,,Contact local authority,INR,1.5,October to March,"A museum in Kohima showcasing the traditions, artefacts, and material culture of Nagaland's sixteen recognised tribes.",State museum documenting Nagaland's tribal heritage.,,,Web research (govt tourism / Incredible India / Wikipedia / reputable travel publishers),https://www.clubmahindra.com/blog/places-to-visit/best-places-to-visit-in-nagaland,1,2026-08-22,VERIFIED_TEXT_ONLY_NO_COORDS,MEDIUM,FALSE,FALSE,FALSE,FALSE,55
PL-03783,Dzukou Valley,Dzükou Valley,Nagaland,NL,FALSE,Kohima,Kohima,CT-0500,Attraction,Hill Station & Mountains,,Valley Trek,Trekking & Nature,"Adventure Seekers,Nature Lovers,Photography Lovers",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,25,60,55,85,10,90,40,90,,,,,,,,,,Contact local authority,INR,1.5,October to March,"A high-altitude valley on the Nagaland-Manipur border famed for its rolling grass-covered hills and seasonal Dzukou lily blooms, popular for trekking and camping.",Scenic trekking valley famed for its rolling hills and rare lilies.,,,Web research (govt tourism / Incredible India / Wikipedia / reputable travel publishers),https://www.sotc.in/tourism/nagaland-tourism/places-to-visit-in-nagaland,1,2026-08-22,VERIFIED_TEXT_ONLY_NO_COORDS,MEDIUM,TRUE,TRUE,FALSE,FALSE,90
PL-03784,Japfu Peak,Japfü Peak,Nagaland,NL,FALSE,Kohima,Kohima,CT-0500,Attraction,Adventure,,Trekking Peak,Trekking & Adventure,"Adventure Seekers,Nature Lovers,Photography Lovers",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,20,60,55,85,20,80,40,80,,,,,,,,,,Contact local authority,INR,1.5,October to March,"The second-highest peak in Nagaland at roughly 3,048 metres, offering a popular multi-day trekking route with panoramic Himalayan foothill views.","Nagaland's second-highest peak, a popular trekking destination.",,,Web research (govt tourism / Incredible India / Wikipedia / reputable travel publishers),https://www.sotc.in/tourism/nagaland-tourism/places-to-visit-in-nagaland,1,2026-08-22,VERIFIED_TEXT_ONLY_NO_COORDS,MEDIUM,FALSE,FALSE,FALSE,FALSE,55
PL-03785,Touphema Tourist Village,Tuophema Village,Nagaland,NL,FALSE,Kohima,Kohima,CT-0500,Attraction,Cultural,,Tourist Village,Rural & Tribal Tourism,"Family,Couples,Photography Lovers",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,70,65,55,40,20,45,45,60,,,,,,,,,,Contact local authority,INR,1.5,October to March,"A community tourism village near Kohima built in traditional Naga architectural style, developed with the state tourism department to showcase Naga rural life and hospitality.",Community-run traditional Naga village offering an immersive cultural stay.,,,Web research (govt tourism / Incredible India / Wikipedia / reputable travel publishers),https://www.sotc.in/tourism/nagaland-tourism/places-to-visit-in-nagaland,1,2026-08-22,VERIFIED_TEXT_ONLY_NO_COORDS,MEDIUM,FALSE,FALSE,FALSE,FALSE,55
PL-03786,Kachari Ruins,Dimapur Ruins,Nagaland,NL,FALSE,Dimapur,Dimapur,CT-0501,Attraction,Archaeological,,Ancient Ruins,Archaeology & Heritage,"History Lovers,Photography Lovers,General Travelers",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,40,60,55,40,20,50,85,65,,,,,,,,,,Contact local authority,INR,1.5,October to March,"10th-century ruins believed to be remnants of the ancient Kachari kingdom's capital, featuring distinctive mushroom-shaped stone pillars near Dimapur.",10th-century Kachari-era stone ruins near Dimapur.,,,Web research (govt tourism / Incredible India / Wikipedia / reputable travel publishers),https://traveltriangle.com/blog/places-to-visit-in-nagaland/,1,2026-08-22,VERIFIED_TEXT_ONLY_NO_COORDS,MEDIUM,FALSE,TRUE,FALSE,FALSE,70
PL-03787,Intanki National Park,Intanki Wildlife Sanctuary,Nagaland,NL,FALSE,Dimapur,Dimapur,CT-0501,Attraction,Nature & Wildlife,,Wildlife Sanctuary,Wildlife & Nature,"Nature Lovers,Adventure Seekers,Family",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,50,60,55,55,20,85,40,60,,,,,,,,,,Contact local authority,INR,1.5,October to March,"A protected forest and wildlife sanctuary near Dimapur home to hoolock gibbons, elephants, and diverse birdlife, popular with nature enthusiasts.",Protected wildlife sanctuary near Dimapur known for hoolock gibbons.,,,Web research (govt tourism / Incredible India / Wikipedia / reputable travel publishers),https://oddessemania.in/tourist-places-in-nagaland/,1,2026-08-22,VERIFIED_TEXT_ONLY_NO_COORDS,MEDIUM,FALSE,FALSE,FALSE,FALSE,55
PL-03788,Diezephe Craft Village,Diezephe Bamboo Craft Village,Nagaland,NL,FALSE,Dimapur,Dimapur,CT-0501,Attraction,Cultural,,Craft Village,Handicrafts & Culture,"Family,Photography Lovers,General Travelers",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,55,60,55,40,20,50,40,55,,,,,,,,,,Contact local authority,INR,1.5,October to March,A model craft village near Dimapur where local artisans demonstrate traditional Naga bamboo and cane craftsmanship.,Artisan village showcasing traditional Naga bamboo and cane crafts.,,,Web research (govt tourism / Incredible India / Wikipedia / reputable travel publishers),https://traveltriangle.com/blog/places-to-visit-in-nagaland/,1,2026-08-22,VERIFIED_TEXT_ONLY_NO_COORDS,MEDIUM,FALSE,FALSE,FALSE,FALSE,55
PL-03789,Longkhum Village,Longkhum,Nagaland,NL,FALSE,Mokokchung,Mokokchung,CT-0502,Attraction,Cultural,,Heritage Village,Tribal Culture & Viewpoints,"Photography Lovers,Nature Lovers,History Lovers",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,45,60,55,40,20,65,55,80,,,,,,,,,,Contact local authority,INR,1.5,October to March,"A scenic Ao Naga village near Mokokchung known for panoramic valley viewpoints and its traditional wood-carved gate, historically significant in intertribal Naga history.",Picturesque Ao Naga village with sweeping valley viewpoints.,,,Web research (govt tourism / Incredible India / Wikipedia / reputable travel publishers),https://oddessemania.in/tourist-places-in-nagaland/,1,2026-08-22,VERIFIED_TEXT_ONLY_NO_COORDS,MEDIUM,FALSE,FALSE,FALSE,FALSE,55
PL-03790,Doyang Reservoir,Doyang Dam / Doyang River,Nagaland,NL,FALSE,Wokha,Wokha,CT-0504,Attraction,Water & Lakes,,Reservoir,Birdwatching & Nature,"Nature Lovers,Photography Lovers,Adventure Seekers",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,35,60,55,45,20,90,40,85,,,,,,,,,,Contact local authority,INR,1.5,October to March,"A large reservoir on the Doyang River in Wokha district, internationally noted as the roosting site for one of the world's largest congregations of migratory Amur Falcons each autumn.",Reservoir famed as a mass roosting site for migratory Amur Falcons.,,,Web research (govt tourism / Incredible India / Wikipedia / reputable travel publishers),https://oddessemania.in/tourist-places-in-nagaland/,1,2026-08-22,VERIFIED_TEXT_ONLY_NO_COORDS,MEDIUM,FALSE,FALSE,TRUE,FALSE,40
PL-03791,Kavaratti Marine Museum,Marine Museum Kavaratti,Lakshadweep,LD,TRUE,Lakshadweep,Kavaratti,CT-0505,Attraction,Museums & Art,,Marine Museum,Marine Life & Conservation,"Family,Nature Lovers,General Travelers",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,55,60,55,40,20,65,30,60,,,,,,,,,,Contact local authority,INR,1.5,October to March,"A museum in Kavaratti focused on marine conservation, displaying an aquarium of local reef fish and exhibits on Lakshadweep's coral ecosystem.",Museum showcasing Lakshadweep's marine life and coral ecosystem.,,,Web research (govt tourism / Incredible India / Wikipedia / reputable travel publishers),https://www.thomascook.in/blog/india-holidays/10-places-to-visit-in-lakshadweep/,1,2026-08-22,VERIFIED_TEXT_ONLY_NO_COORDS,MEDIUM,FALSE,FALSE,FALSE,FALSE,55
PL-03792,Ujra Mosque,"Ujra Masjid, Kavaratti",Lakshadweep,LD,TRUE,Lakshadweep,Kavaratti,CT-0505,Attraction,Mosques,,Historic Mosque,Islamic Heritage & Architecture,"Spiritual Travelers,History Lovers,Photography Lovers",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,35,60,55,40,75,50,60,55,,,,,,,,,,Contact local authority,INR,1.5,October to March,"A historic mosque on Kavaratti island noted for its ornate wood carvings and traditional Lakshadweep coral-stone architecture, one of over 50 mosques on the small island.",Historic mosque on Kavaratti known for ornate traditional carvings.,,,Web research (govt tourism / Incredible India / Wikipedia / reputable travel publishers),https://www.thomascook.in/blog/india-holidays/10-places-to-visit-in-lakshadweep/,1,2026-08-22,VERIFIED_TEXT_ONLY_NO_COORDS,MEDIUM,FALSE,FALSE,TRUE,FALSE,40
PL-03793,Agatti Lighthouse,Agatti Island Lighthouse,Lakshadweep,LD,TRUE,Lakshadweep,Agatti Island,CT-0506,Attraction,Viewpoints,,Colonial Lighthouse,Coastal Heritage & Views,"Photography Lovers,History Lovers,General Travelers",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,40,60,55,40,20,50,55,70,,,,,,,,,,Contact local authority,INR,1.5,October to March,"A colonial-era lighthouse on Agatti Island, one of the oldest in Lakshadweep, offering views over the island's turquoise lagoon.",Colonial-era lighthouse offering views over Agatti's lagoon.,,,Web research (govt tourism / Incredible India / Wikipedia / reputable travel publishers),https://www.goindigo.in/get-inspired/lakshadweep-travel-guide.html,1,2026-08-22,VERIFIED_TEXT_ONLY_NO_COORDS,MEDIUM,FALSE,FALSE,FALSE,FALSE,55
PL-03794,Agatti Lagoon,Agatti Island Lagoon,Lakshadweep,LD,TRUE,Lakshadweep,Agatti Island,CT-0506,Attraction,Beach & Coastal,,Coral Lagoon,Water Sports & Snorkelling,"Adventure Seekers,Nature Lovers,Photography Lovers",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,45,60,55,80,20,85,40,85,,,,,,,,,,Contact local authority,INR,1.5,October to March,"A turquoise coral lagoon surrounding Agatti Island, popular for snorkelling, kayaking, and scuba diving amid vibrant reef life.",Turquoise coral lagoon popular for snorkelling and diving.,,,Web research (govt tourism / Incredible India / Wikipedia / reputable travel publishers),https://www.goindigo.in/get-inspired/lakshadweep-travel-guide.html,1,2026-08-22,VERIFIED_TEXT_ONLY_NO_COORDS,MEDIUM,FALSE,TRUE,FALSE,FALSE,70
PL-03795,Bangaram Lagoon Beach,Bangaram Atoll Beach,Lakshadweep,LD,TRUE,Lakshadweep,Bangaram Island,CT-0507,Attraction,Beach & Coastal,,Atoll Beach,Water Sports & Tranquil Beaches,"Couples,Nature Lovers,Adventure Seekers",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,40,80,55,65,20,85,40,85,,,,,,,,,,Contact local authority,INR,1.5,October to March,"The beach of Bangaram, the largest atoll island in Lakshadweep, with a shallow turquoise lagoon and near-uninhabited surroundings ideal for a secluded getaway.","Secluded atoll beach with a large, shallow turquoise lagoon.",,,Web research (govt tourism / Incredible India / Wikipedia / reputable travel publishers),https://www.dizcoverpraveg.com/15-places-to-visit-in-lakshadweep-a-detailed-guide,1,2026-08-22,VERIFIED_TEXT_ONLY_NO_COORDS,MEDIUM,FALSE,TRUE,FALSE,FALSE,70
PL-03796,Kadmat Beach,Kadmat Island Beach,Lakshadweep,LD,TRUE,Lakshadweep,Kadmat Island,CT-0508,Attraction,Beach & Coastal,,Dual Lagoon Beach,Snorkelling & Diving,"Adventure Seekers,Nature Lovers,Couples",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,40,60,55,80,20,80,40,75,,,,,,,,,,Contact local authority,INR,1.5,October to March,"A narrow island beach with lagoons on both its eastern and western shores, considered among the best diving and snorkelling spots in Lakshadweep with a turtle nesting area.","Narrow island with dual lagoons, prized for diving and snorkelling.",,,Web research (govt tourism / Incredible India / Wikipedia / reputable travel publishers),https://www.dizcoverpraveg.com/15-places-to-visit-in-lakshadweep-a-detailed-guide,1,2026-08-22,VERIFIED_TEXT_ONLY_NO_COORDS,MEDIUM,FALSE,FALSE,FALSE,FALSE,55
PL-03797,Kalpeni Juma Mosque,Kalpeni Jama Masjid,Lakshadweep,LD,TRUE,Lakshadweep,Kalpeni Island,CT-0509,Attraction,Mosques,,Historic Mosque,Islamic Heritage & Architecture,"Spiritual Travelers,History Lovers",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,35,60,55,40,70,50,65,50,,,,,,,,,,Contact local authority,INR,1.5,October to March,"One of the oldest mosques in Lakshadweep, located on Kalpeni Island, featuring traditional Malabar-style wooden architecture and intricate carvings.","One of Lakshadweep's oldest mosques, with Malabar-style wood carving.",,,Web research (govt tourism / Incredible India / Wikipedia / reputable travel publishers),https://www.goindigo.in/get-inspired/lakshadweep-travel-guide.html,1,2026-08-22,VERIFIED_TEXT_ONLY_NO_COORDS,MEDIUM,FALSE,FALSE,TRUE,FALSE,40
PL-03798,Kalpeni Lagoon,Kalpeni Island Lagoon,Lakshadweep,LD,TRUE,Lakshadweep,Kalpeni Island,CT-0509,Attraction,Beach & Coastal,,Coral Lagoon,Water Sports & Sandbanks,"Adventure Seekers,Nature Lovers,Photography Lovers",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,45,60,55,75,20,80,40,75,,,,,,,,,,Contact local authority,INR,1.5,October to March,"A scenic lagoon around Kalpeni Island with coral reefs and sandbanks, offering kayaking, glass-bottom boat rides, and snorkelling.",Scenic coral lagoon offering kayaking and glass-bottom boat rides.,,,Web research (govt tourism / Incredible India / Wikipedia / reputable travel publishers),https://www.captureatrip.com/blog/places-to-visit-in-lakshadweep,1,2026-08-22,VERIFIED_TEXT_ONLY_NO_COORDS,MEDIUM,FALSE,FALSE,FALSE,FALSE,55
